,user_id,income_bureau,occupation_bureau,age_bureau,no_of_accounts,no_of_writeoffs,most_severe_served_status_within_24_months,bureau_score,number_of_delinquent_accounts
0,19,,,54.0,1.0,0.0,Std,724.0,0.0
1,19,,,22.0,4.0,0.0,Std,742.0,0.0
2,161,,,,,,,,
3,187,15001.0,,56.0,16.0,0.0,Rnc,623.0,3.0
4,107,,,,,,,,
5,174,31000.0,SALARIED,25.0,7.0,0.0,Non-Delnqt,755.0,0.0
6,212,,,,,,,,
7,131,55000.0,SALARIED,41.0,28.0,8.0,WOF,647.0,2.0
8,320,,,21.0,2.0,0.0,Non-Delnqt,755.0,0.0
9,352,50000.0,,29.0,47.0,0.0,Loss,617.0,1.0
10,420,20700.0,,26.0,16.0,0.0,Set,702.0,1.0
11,432,400000000.0,,22.0,28.0,0.0,WOF,699.0,0.0
12,439,,,25.0,16.0,0.0,Std,701.0,1.0
13,505,15001.0,SELF EMPLOYED,33.0,14.0,1.0,WOF,652.0,1.0
14,604,25000.0,,23.0,51.0,0.0,WOF,639.0,1.0
15,581,50000.0,SELF EMPLOYED,27.0,11.0,0.0,30+,710.0,0.0
16,570,500000.0,,24.0,25.0,7.0,WOF,652.0,11.0
17,668,,SALARIED,26.0,1.0,0.0,Non-Delnqt,740.0,0.0
18,600,,,,,,,,
19,259,,,,,,,,
20,419,3084069.0,,39.0,5.0,0.0,Non-Delnqt,718.0,0.0
21,510,,,,,,,,
22,381,,,,,,,,
23,796,20500.0,,42.0,102.0,3.0,WOF,520.0,16.0
24,882,,,,,,,,
25,657,,,25.0,3.0,0.0,Non-Delnqt,6.0,0.0
26,930,15001.0,,28.0,13.0,0.0,Non-Delnqt,728.0,0.0
27,679,,,,,,,,
28,833,,,35.0,22.0,0.0,WOF,626.0,0.0
29,733,,,28.0,2.0,0.0,Non-Delnqt,755.0,0.0
30,1011,50000.0,,39.0,52.0,0.0,Sub,627.0,0.0
31,1025,,,,,,,,
32,975,,,,,,,,
33,1026,,,,,,,,
34,544,25352.0,SALARIED,32.0,6.0,0.0,30+,711.0,1.0
35,921,,,,,,,,
36,1193,15001.0,,25.0,7.0,0.0,01+,728.0,0.0
37,1233,,,34.0,19.0,0.0,WOF,637.0,0.0
38,1391,,,,,,,,
39,1456,,,,,,,,
40,1367,,,21.0,2.0,0.0,Non-Delnqt,754.0,0.0
41,828,150001.0,,46.0,19.0,1.0,Spm,726.0,1.0
42,1047,,,,,,,,
43,755,,,,,,,,
44,1661,15001.0,,23.0,7.0,1.0,WOF,666.0,2.0
45,2,100001.0,SELF EMPLOYED PROFESSIONAL,21.0,3.0,0.0,Non-Delnqt,745.0,0.0
46,2,,,,,,,,
47,2,100001.0,SELF EMPLOYED PROFESSIONAL,21.0,3.0,0.0,Std,745.0,0.0
48,1780,,,,,,,,
49,1554,,,39.0,4.0,0.0,60+,653.0,1.0
50,1908,,,,,,,,
51,906,,,,,,,,
52,1269,,,,,,,,
53,2035,,,,,,,,
54,2325,480000.0,,32.0,6.0,0.0,Sub,702.0,0.0
55,2366,90000.0,,27.0,19.0,0.0,Std,722.0,0.0
56,2669,50000.0,SELF EMPLOYED,25.0,7.0,2.0,WOF,543.0,4.0
57,2827,,,,,,,,
58,2727,,,,,,,,
59,2915,,,24.0,17.0,0.0,Non-Delnqt,755.0,0.0
60,2944,,,,,,,,
61,2563,15000.0,SALARIED,26.0,78.0,0.0,30+,648.0,0.0
62,2947,,,,,,,,
63,2952,,,,,,,,
64,1651,,SELF EMPLOYED,31.0,1.0,0.0,Non-Delnqt,763.0,0.0
65,1644,,,,,,,,
66,2804,,,,,,,,
